Illness Name,Category
Pneumonia,0
Rubella,0
Erotomania,1
Leg Length Discrepancy,3
Ataxia,3
Aplastic Anemia,2
Kyphosis,3
Spinal Cord Injury,3
Depression,1
Orthopedic Impairment,3
Malaria,0
Hemophilia,2
Neurocognitive Disorder,1
Cirrhosis,2
Kleptomania,1
Graves’ Disease,2
Balance Disorder,3
Kleptomania,1
Social Anxiety Disorder,1
Autoimmune Hepatitis,2
Tic Disorders,1
Panic Disorder,1
Adjustment Disorder,1
Hallucination Disorder,1
Rabies,0
Neurocognitive Disorder,1
Kleptomania,1
Crohn’s Disease,2
Kyphosis,3
Parkinson’s Disease,2
Anthrax,0
Neurocognitive Disorder,1
RSV,0
Bulimia,1
Chronic Sinusitis,2
Panic Disorder,1
Crohn’s Disease,2
Norovirus,0
Spina Bifida,3
Paget's Disease,2
Barrett’s Esophagus,2
Heart Disease,2
Limb Girdle Disorder,3
Rubella,0
Dissociative Identity Disorder,1
Yellow Fever,0
Sinus Infection,0
Influenza,0
Hepatitis A,0
Sickle Cell Disease,2
Influenza,0
Visual Impairment,3
Hypertension,2
Neurocognitive Disorder,1
Endometriosis,2
Parkinson’s Disease,2
Parkinson’s Disease,2
Bacterial Meningitis,0
Catatonia,1
Muscular Dystrophy,3
Leg Length Discrepancy,3
Dwarfism,3
Pathological Gambling,1
Traumatic Brain Injury,3
Somatic Symptom Disorder,1
Anorexia,1
Polycystic Kidney Disease,2
Spinal Cord Injury,3
Hip Dysplasia,3
Campylobacteriosis,0
Schizophrenia,1
Selective Mutism,1
Microcephaly,3
Erotomania,1
Cirrhosis,2
Somatic Symptom Disorder,1
Psychotic Depression,1
Giardiasis,0
Mobility Impairment,3
Bulimia,1
Tetanus,0
Chronic Sinusitis,2
Leptospirosis,0
Substance Use Disorder,1
Mood Disorder,1
Spastic Diplegia,3
Amyloidosis,2
Substance Use Disorder,1
Hallucination Disorder,1
Norovirus,0
Panic Disorder,1
Giardiasis,0
Endometriosis,2
Paratyphoid Fever,0
Leptospirosis,0
OCD,1
Scoliosis,3
Graves’ Disease,2
Arthrogryposis,3
Substance Use Disorder,1
Hallucination Disorder,1
Arthritis,2
Claw Hand,3
Sleep Disorder,1
Yellow Fever,0
Polio,3
Dissociative Identity Disorder,1
Hypertension,2
Measles,0
Hearing Loss,3
Aplastic Anemia,2
Norovirus,0
Sickle Cell Disease,2
Schizophrenia,1
Borderline Personality Disorder,1
Short Stature,3
Panic Disorder,1
Delirium,1
Chikungunya,0
Claw Hand,3
PTSD,1
Botulism,0
Pathological Gambling,1
Chickenpox,0
Leptospirosis,0
Blindness,3
Anxiety,1
Strep Throat,0
Tetanus,0
Endometriosis,2
Substance Use Disorder,1
Tetanus,0
Trichotillomania,1
Sleep Disorder,1
Kleptomania,1
Substance Use Disorder,1
Measles,0
Chikungunya,0
ADHD,1
Amputation,3
Gout,2
Zika Virus,0
Arthrogryposis,3
Chronic Kidney Disease,2
Scoliosis,3
Paraphilic Disorder,1
Hearing Loss,3
Psychotic Depression,1
Paralysis,3
Sleep Disorder,1
Arthrogryposis,3
Thalassemia,2
Panic Disorder,1
Torticollis,3
Cerebral Palsy,3
Listeriosis,0
Chronic Sinusitis,2
Paranoia,1
Spinal Cord Injury,3
Muscular Dystrophy,3
Chronic Kidney Disease,2
Limb Girdle Disorder,3
E. coli Infection,0
Giardiasis,0
Hearing Loss,3
COPD,2
Hallucination Disorder,1
E. coli Infection,0
Lupus,2
Paget's Disease,2
Typhoid Fever,0
Whooping Cough,0
Arthrogryposis,3
Hand Deformity,3
Aplastic Anemia,2
Chronic Urticaria,2
Food Poisoning,0
Chronic Urticaria,2
Sleep Disorder,1
Chikungunya,0
Psychosis,1
Rabies,0
Chikungunya,0
Myasthenia Gravis,2
Peripheral Artery Disease,2
Claw Hand,3
Tic Disorders,1
Dengue Fever,0
Campylobacteriosis,0
Somatic Symptom Disorder,1
Malaria,0
Kleptomania,1
Coxa Vara,3
Hepatitis C,0
Asthma,2
Kyphosis,3
ADHD,1
Torticollis,3
Hallucination Disorder,1
Giardiasis,0
Trichotillomania,1
Measles,0
Chronic Urticaria,2
Tetanus,0
OCD,1
COVID-19,0
Parkinson’s Disease,2
Amputation,3
Psychosis,1
Catatonia,1
Rheumatic Heart Disease,2
ADHD,1
Histrionic Personality Disorder,1
Hepatitis B,0
Scoliosis,3
Sinus Infection,0
Anorexia,1
Traumatic Brain Injury,3
Rheumatic Heart Disease,2
Psychotic Depression,1
Kleptomania,1
Kleptomania,1
Histrionic Personality Disorder,1
Torticollis,3
Thyroid Disease,2
Hemiplegia,3
Panic Disorder,1
E. coli Infection,0
Panic Disorder,1
Myasthenia Gravis,2
Anthrax,0
Chronic Appendicitis,2
Clubfoot,3
Speech Impairment,3
Fibromyalgia,2
Ulcerative Colitis,2
Osteogenesis Imperfecta,3
Histrionic Personality Disorder,1
Polycystic Kidney Disease,2
Pneumonia,0
COPD,2
Psychotic Depression,1
Osteogenesis Imperfecta,3
Social Anxiety Disorder,1
Hemiplegia,3
Hepatitis A,0
Muscle Weakness,3
Pneumonia,0
Hypertension,2
Paranoia,1
Toxoplasmosis,0
Chronic Kidney Disease,2
Anxiety,1
Psoriasis,2
Ataxia,3
Chickenpox,0
Botulism,0
Narcissistic Personality Disorder,1
Paralysis,3
Phobias,1
Arthrogryposis,3
Parkinson’s Disease,2
Traumatic Brain Injury,3
Chronic Pancreatitis,2
Balance Disorder,3
Typhoid Fever,0
Rabies,0
Chronic Urticaria,2
COVID-19,0
Botulism,0
Blindness,3
Anorexia,1
Amputation,3
Lupus,2
Chronic Migraine,2
Asthma,2
Hallucination Disorder,1
Graves’ Disease,2
Chronic Migraine,2
Cystic Fibrosis,2
Coxa Vara,3
Toxoplasmosis,0
Myasthenia Gravis,2
Botulism,0
Strep Throat,0
Rabies,0
Polio,3
Muscular Dystrophy,3
Paranoia,1
RSV,0
Scoliosis,3
Seasonal Affective Disorder,1
Arthritis,2
Spastic Diplegia,3
Frozen Shoulder,3
Toxoplasmosis,0
Malaria,0
Psychotic Depression,1
Chronic Pancreatitis,2
Polycystic Kidney Disease,2
Dengue Fever,0
Adjustment Disorder,1
Typhoid Fever,0
Substance Use Disorder,1
Food Poisoning,0
Hip Dysplasia,3
Bipolar Disorder,1
Tetanus,0
Chronic Fatigue Syndrome,2
Quadriplegia,3
Mania,1
Listeriosis,0
Monoplegia,3
Mumps,0
Clubfoot,3
Amyloidosis,2
Quadriplegia,3
Ear Infection,0
Chikungunya,0
Endometriosis,2
Heart Disease,2
Psychosis,1
Bipolar Disorder,1
