Illness Name,Category
"Pneumonia, Rubella","0, 0"
"Pneumonia, Erotomania","0, 1"
"Pneumonia, Leg Length Discrepancy","0, 3"
"Pneumonia, Ataxia","0, 3"
"Pneumonia, Aplastic Anemia","0, 2"
"Pneumonia, Kyphosis","0, 3"
"Pneumonia, Spinal Cord Injury","0, 3"
"Pneumonia, Depression","0, 1"
"Pneumonia, Orthopedic Impairment","0, 3"
"Pneumonia, Malaria","0, 0"
"Pneumonia, Hemophilia","0, 2"
"Pneumonia, Neurocognitive Disorder","0, 1"
"Pneumonia, Cirrhosis","0, 2"
"Pneumonia, Kleptomania","0, 1"
"Pneumonia, Graves’ Disease","0, 2"
"Pneumonia, Balance Disorder","0, 3"
"Pneumonia, Social Anxiety Disorder","0, 1"
"Pneumonia, Autoimmune Hepatitis","0, 2"
"Pneumonia, Tic Disorders","0, 1"
"Pneumonia, Panic Disorder","0, 1"
"Pneumonia, Adjustment Disorder","0, 1"
"Pneumonia, Hallucination Disorder","0, 1"
"Pneumonia, Rabies","0, 0"
"Pneumonia, Crohn’s Disease","0, 2"
"Pneumonia, Parkinson’s Disease","0, 2"
"Pneumonia, Anthrax","0, 0"
"Pneumonia, RSV","0, 0"
"Pneumonia, Bulimia","0, 1"
"Pneumonia, Chronic Sinusitis","0, 2"
"Pneumonia, Norovirus","0, 0"
"Pneumonia, Spina Bifida","0, 3"
"Pneumonia, Paget's Disease","0, 2"
"Pneumonia, Barrett’s Esophagus","0, 2"
"Pneumonia, Heart Disease","0, 2"
"Pneumonia, Limb Girdle Disorder","0, 3"
"Pneumonia, Dissociative Identity Disorder","0, 1"
"Pneumonia, Yellow Fever","0, 0"
"Pneumonia, Sinus Infection","0, 0"
"Pneumonia, Influenza","0, 0"
"Pneumonia, Hepatitis A","0, 0"
"Pneumonia, Sickle Cell Disease","0, 2"
"Pneumonia, Visual Impairment","0, 3"
"Pneumonia, Hypertension","0, 2"
"Pneumonia, Endometriosis","0, 2"
"Pneumonia, Bacterial Meningitis","0, 0"
"Pneumonia, Catatonia","0, 1"
"Pneumonia, Muscular Dystrophy","0, 3"
"Pneumonia, Dwarfism","0, 3"
"Pneumonia, Pathological Gambling","0, 1"
"Pneumonia, Traumatic Brain Injury","0, 3"
"Pneumonia, Somatic Symptom Disorder","0, 1"
"Pneumonia, Anorexia","0, 1"
"Pneumonia, Polycystic Kidney Disease","0, 2"
"Pneumonia, Hip Dysplasia","0, 3"
"Pneumonia, Campylobacteriosis","0, 0"
"Pneumonia, Schizophrenia","0, 1"
"Pneumonia, Selective Mutism","0, 1"
"Pneumonia, Microcephaly","0, 3"
"Pneumonia, Psychotic Depression","0, 1"
"Pneumonia, Giardiasis","0, 0"
"Pneumonia, Mobility Impairment","0, 3"
"Pneumonia, Tetanus","0, 0"
"Pneumonia, Leptospirosis","0, 0"
"Pneumonia, Substance Use Disorder","0, 1"
"Pneumonia, Mood Disorder","0, 1"
"Pneumonia, Spastic Diplegia","0, 3"
"Pneumonia, Amyloidosis","0, 2"
"Pneumonia, Paratyphoid Fever","0, 0"
"Pneumonia, OCD","0, 1"
"Pneumonia, Scoliosis","0, 3"
"Pneumonia, Arthrogryposis","0, 3"
"Pneumonia, Arthritis","0, 2"
"Pneumonia, Claw Hand","0, 3"
"Pneumonia, Sleep Disorder","0, 1"
"Pneumonia, Polio","0, 3"
"Pneumonia, Measles","0, 0"
"Pneumonia, Hearing Loss","0, 3"
"Pneumonia, Borderline Personality Disorder","0, 1"
"Pneumonia, Short Stature","0, 3"
"Pneumonia, Delirium","0, 1"
"Pneumonia, Chikungunya","0, 0"
"Pneumonia, PTSD","0, 1"
"Pneumonia, Botulism","0, 0"
"Pneumonia, Chickenpox","0, 0"
"Pneumonia, Blindness","0, 3"
"Pneumonia, Anxiety","0, 1"
"Pneumonia, Strep Throat","0, 0"
"Pneumonia, Trichotillomania","0, 1"
"Pneumonia, ADHD","0, 1"
"Pneumonia, Amputation","0, 3"
"Pneumonia, Gout","0, 2"
"Pneumonia, Zika Virus","0, 0"
"Pneumonia, Chronic Kidney Disease","0, 2"
